colGPA,hsGPA,ACT,skipped,PC
3,3,21,2,0
3.4,3.2,24,0,0
3,3.6,26,0,0
3.5,3.5,27,0,0
3.6,3.9,28,0,0
3,3.4,25,0,0
2.7,3.5,25,0,0
2.7,3,22,3,1
2.7,3,21,2,0
3.8,4,27,0.5,1
2.8,3,19,2,0
2.9,3.1,22,1,0
3,3.5,23,0,1
2.9,3.8,29,3,0
3.3,3.7,25,1,1
2.6,3,21,3,0
2.5,3.5,29,4,1
2.5,3,23,5,0
2.4,3,21,2,0
3.6,3.5,29,1,1
2.6,3.5,25,3,0
2.7,3,23,1,0
2.9,3.6,27,1,1
3,4,25,0,1
3.3,3.6,33,2,0
3.1,3.3,24,1,0
3,3.6,27,2,1
3.2,3.1,20,1,1
3,3.4,21,0,1
3.4,3.7,24,0.5,0
2.9,3.7,20,1,0
3.5,3.3,23,1,1
3.7,3.3,22,0,1
3.5,3.5,24,0,1
2.8,3.2,28,1,0
2.5,3.3,25,1,1
3.1,3.4,23,0.5,1
3.5,3.5,24,1,0
3.4,3.4,26,0.5,1
3.5,3.7,23,0,1
2.6,2.5,26,1,1
2.8,3.7,23,0,1
2.6,3,23,2,0
3.5,3,19,1,1
4,4,26,0,1
3.8,3.8,26,1,1
2.8,3,21,4,1
3.5,3.7,24,1,0
3,3.4,24,2,0
2.6,2.4,24,1,0
3,3.8,21,1,0
3.7,4,25,1,0
3,3.5,21,0,0
2.9,3.4,27,1,1
2.6,3.6,19,1,1
3,3.2,27,2,0
3.3,3.8,28,0.5,0
2.7,3.3,24,2,0
3,3.4,27,0,0
3.2,3,24,0,0
2.7,3.6,27,1,0
3.6,3.9,26,1,1
2.4,3,19,2,0
2.9,3,24,1,0
3.3,3.3,26,1,1
3.5,3.3,28,0.5,1
3,3.2,22,2,0
3,3.4,27,0,0
2.8,3.7,26,0,1
2.9,3.4,26,0,1
3.8,3.9,30,2,1
2.5,3.6,24,2,0
3,4,26,1,0
3.2,3.6,21,1,0
2.2,3,24,0,1
3.4,2.8,24,0,0
2.9,3.2,23,0,0
3.7,2.9,26,1,1
2.9,2.9,24,1,0
2.8,3.6,24,0.5,0
3.2,3.4,27,1,0
3.4,3.6,23,0.5,0
3,3.2,31,2,1
2.5,3.2,24,2,0
3.5,3.2,16,1,1
3.1,3.7,27,1,0
2.8,2.9,22,0,0
2.9,3.3,23,1,0
2.9,3.1,24,2,0
3.4,3.5,24,0,0
3.4,3.5,23,0,1
3.6,3.7,23,3,0
3.2,3,23,0.25,1
3.2,3.8,25,1,1
2.8,3.3,21,0,1
3.1,3.6,22,0,0
2.8,3.2,24,1,1
3.4,3.6,27,3,1
2.7,3.5,29,0,0
3,3.7,24,0,1
2.5,2.7,25,0.5,1
2.5,3.1,23,1,0
2.7,3.4,22,1,0
3.6,3.3,24,0,1
2.9,3.4,23,1,1
2.8,3.5,26,1,1
3.9,3.9,26,0,1
2.8,3.5,22,2,0
3.9,4,26,0,1
3.2,2.9,28,1,0
3.3,3.3,24,2,0
3.3,3.5,24,2,0
3.2,3.5,23,0,0
3.1,3.1,16,0,1
3,3.1,21,1,1
3.4,3.7,30,5,0
3.1,3.3,23,2,0
3.2,3.7,23,2,0
3.3,3,23,0,1
3,3.8,22,1,0
2.8,3.5,22,1,0
2.8,3.6,25,3,0
2.7,3.5,27,4,0
2.6,3,19,1,0
2.9,3.8,23,1,0
3,3.5,26,2,0
3,3.6,22,0,0
2.9,3.8,24,2,0
3.3,3.6,26,0,0
2.7,3.3,23,1,1
3,3.2,21,1,1
2.9,3.3,22,2,0
3.8,3.6,26,0,0
2.9,3.8,30,0,1
3,3.3,22,0,1
3.2,3.2,19,0,0
3,3.3,23,0,0
2.3,3.6,25,1,0
2.8,3.4,21,0,0
3.4,3.7,26,3,0
2.8,3.3,28,3,0
